Frequency,Impedance
150000,636.2687813
154500,620.0378899
159000,604.7257282
163500,590.2564378
168000,576.562288
172500,563.5826155
177000,551.2629264
181500,539.554131
186000,528.4118901
190500,517.7960544
195000,507.6701803
199500,498.0011126
204000,488.7586213
208500,479.9150866
213000,471.4452223
217500,463.3258351
222000,455.5356123
226500,448.0549348
231000,440.8657122
235500,433.951237
240000,427.2960547
244500,420.8858483
249000,414.7073362
253500,408.7481795
258000,402.9969004
262500,397.442808
267000,392.0759322
271500,386.8869639
276000,381.867201
280500,377.0085001
285000,372.3032319
289500,367.7442414
294000,363.3248118
298500,359.0386314
303000,354.8797632
307500,350.8426181
312000,346.921929
316500,343.1127288
321000,339.4103285
325500,335.8102987
330000,332.3084516
334500,328.9008246
339000,325.5836656
343500,322.353419
348000,319.2067133
352500,316.140349
357000,313.151288
361500,310.2366435
366000,307.3936705
370500,304.6197576
375000,301.9124187
379500,299.2692854
384000,296.6881005
388500,294.1667114
393000,291.7030641
397500,289.2951974
402000,286.9412382
406500,284.6393962
411000,282.3879595
415500,280.1852904
420000,278.0298213
424500,275.9200512
429000,273.8545421
433500,271.8319154
438000,269.8508496
442500,267.9100767
447000,266.0083797
451500,264.1445903
456000,262.3175862
460500,260.5262891
465000,258.7696622
469500,257.0467087
474000,255.3564694
478500,253.6980215
483000,252.0704764
487500,250.4729783
492000,248.9047026
496500,247.364855
501000,245.8526692
505500,244.3674067
510000,242.9083547
514500,241.4748254
519000,240.066155
523500,238.6817025
528000,237.3208486
532500,235.982995
537000,234.6675636
541500,233.3739953
546000,232.1017495
550500,230.8503034
555000,229.6191511
559500,228.4078027
564000,227.2157845
568500,226.0426372
573000,224.8879163
577500,223.751191
582000,222.632044
586500,221.5300706
591000,220.4448785
595500,219.3760873
600000,218.323328
604500,217.2862425
609000,216.2644834
613500,215.2577134
618000,214.2656051
622500,213.2878406
627000,212.324111
631500,211.3741162
636000,210.4375647
640500,209.5141732
645000,208.6036663
649500,207.7057761
654000,206.8202421
658500,205.9468112
663000,205.0852367
667500,204.235279
672000,203.3967047
676500,202.5692865
681000,201.7528034
685500,200.94704
690000,200.1517865
