Frequency,CM Baseline,CM Filtered,Noise Floor,DM Baseline,DM Filtered
150000.0,-26.98616,-29.76937,-50.23812,-25.81429,-24.72054
154500.0,-24.69612,-34.86702,-49.47151,-27.70394,-25.84358
159000.0,-24.84261,-28.74886,-50.02815,-27.41585,-25.29671
163500.0,-24.15901,-27.90901,-49.35921,-26.1219,-26.02913
168000.0,-24.19808,-28.18245,-50.60921,-35.39437,-26.49788
172500.0,-24.06136,-28.34847,-48.94417,-25.45296,-24.98909
177000.0,-25.50667,-27.3719,-48.35823,-26.79085,-28.00179
181500.0,-23.74886,-27.73323,-50.03792,-25.20882,-24.82308
186000.0,-23.49983,-28.13851,-50.23812,-25.37483,-27.118
190500.0,-23.64632,-27.62581,-51.05355,-26.4637,-26.12679
195000.0,-23.34358,-27.60628,-51.54183,-26.96663,-25.03304
199500.0,-22.96761,-29.7889,-52.0594,-25.92659,-26.23909
204000.0,-22.4305,-29.27132,-51.52718,-25.45784,-24.26155
208500.0,-22.69417,-30.15999,-51.50765,-27.3719,-22.79671
213000.0,-22.44026,-28.06526,-49.87679,-26.07796,-23.72933
217500.0,-22.26448,-28.33382,-53.01155,-25.86312,-22.6014
222000.0,-22.17171,-29.75472,-52.50374,-24.73519,-22.84554
226500.0,-22.46468,-28.31429,-52.38167,-22.96761,-23.64144
231000.0,-22.57698,-28.5389,-53.10921,-31.89339,-24.60335
235500.0,-22.38655,-28.74886,-52.08382,-23.81233,-22.9139
240000.0,-21.44417,-29.37874,-52.69905,-24.40315,-22.86507
244500.0,-21.64925,-37.10335,-53.9637,-27.82112,-21.67366
249000.0,-21.32698,-30.10628,-53.66585,-24.12483,-22.07894
253500.0,-22.4012,-29.65706,-54.79866,-24.57405,-21.89339
258000.0,-21.70296,-29.72542,-52.76741,-24.34944,-21.34651
262500.0,-21.8348,-30.32601,-52.9139,-23.01644,-22.45003
267000.0,-22.15218,-28.95882,-54.2762,-21.83968,-22.93831
271500.0,-23.6219,-29.05647,-54.4178,-23.67562,-25.68733
276000.0,-22.2596,-30.53108,-52.79671,-22.22542,-20.93636
280500.0,-21.85921,-29.0223,-55.45296,-23.14339,-20.96077
285000.0,-22.24983,-28.94417,-53.12874,-24.30062,-21.3221
289500.0,-22.41097,-29.81331,-55.33089,-23.42659,-22.52327
294000.0,-22.69417,-29.37386,-56.2928,-23.3094,-22.39144
298500.0,-22.82112,-30.2137,-54.97444,-25.96565,-23.09456
303000.0,-23.26546,-31.01448,-53.51448,-23.82698,-22.66487
307500.0,-26.0389,-29.60823,-56.40999,-24.35433,-22.3719
312000.0,-23.00667,-29.51546,-55.49202,-24.32991,-21.71761
316500.0,-22.43538,-31.07308,-56.05355,-22.58675,-22.65511
321000.0,-23.82698,-30.05745,-56.17562,-22.56722,-22.15218
325500.0,-22.73323,-29.85726,-55.62386,-22.81624,-22.89925
330000.0,-23.11897,-30.20882,-54.60823,-23.55355,-23.60726
334500.0,-24.94515,-31.56136,-55.13069,-22.60628,-23.02132
339000.0,-23.2264,-35.78987,-56.78597,-23.30452,-25.60921
343500.0,-23.94417,-30.00374,-57.19612,-22.59651,-22.03011
348000.0,-24.31526,-29.88167,-56.9471,-22.51351,-25.2137
352500.0,-23.16292,-29.97933,-57.10335,-23.81722,-23.64632
357000.0,-26.45882,-35.12581,-57.94808,-23.31917,-25.96077
361500.0,-25.49202,-32.36702,-57.73323,-23.85628,-35.21858
366000.0,-25.23323,-31.38069,-56.50276,-23.13362,-24.25667
370500.0,-24.92562,-30.64827,-56.75667,-22.95296,-23.3094
375000.0,-23.78304,-29.12483,-56.82991,-23.45589,-25.32601
379500.0,-24.71565,-30.28206,-57.53792,-23.20687,-27.90901
384000.0,-25.93147,-29.2762,-58.32405,-23.0262,-24.09554
388500.0,-25.36019,-29.14437,-59.19319,-24.83284,-24.73519
393000.0,-25.6678,-30.90218,-56.81526,-23.60237,-27.31819
397500.0,-26.13167,-30.29183,-57.45003,-27.43538,-28.47542
402000.0,-24.41292,-33.3094,-58.32405,-26.84944,-23.98323
406500.0,-24.56429,-35.97054,-57.18636,-23.86116,-26.90804
411000.0,-24.88655,-32.84065,-58.71468,-24.72542,-24.64241
415500.0,-24.67171,-31.15608,-58.92952,-23.77327,-25.33577
420000.0,-24.5594,-32.38167,-58.72933,-24.5594,-26.1512
424500.0,-25.47249,-30.33577,-59.27132,-25.21858,-26.70296
429000.0,-25.15511,-30.57503,-57.72835,-24.9305,-25.72151
433500.0,-25.42855,-30.41878,-59.67659,-26.55647,-26.25374
438000.0,-24.82308,-32.47444,-59.57894,-23.79769,-25.8973
442500.0,-24.9305,-30.84847,-59.41292,-24.42757,-35.69222
447000.0,-26.6639,-30.90218,-59.6473,-25.55062,-26.1512
451500.0,-25.22835,-30.98519,-57.61605,-25.52132,-25.57015
456000.0,-24.70101,-33.64144,-58.32894,-24.53499,-25.41878
